name,|V|,gir,bip,CayTy,|G_v|,solv,rad,AtNo,AtTy,AltExp,AltPer,AltSeq,CCa,CCb,MetaCircTy
HAT[273;5],273,3,nb,Cay,2,solv,91,91,tight,1,3,[91],3,6,{2}
HAT[273;6],273,6,nb,Cay,2,solv,91,91,tight,1,3,[91],6,21,{2;4}
HAT[275;1],275,6,nb,Cay,2,solv,11,11,tight,1,25,[11],25,50,{2}
HAT[275;2],275,6,nb,Cay,2,solv,11,11,tight,1,25,[11],25,50,{2}
HAT[275;3],275,5,nb,Cay,2,solv,55,55,tight,1,5,[55],5,10,{2}
HAT[275;4],275,5,nb,Cay,2,solv,55,55,tight,1,5,[55],5,10,{2}
HAT[279;1],279,6,nb,Cay,2,solv,31,31,tight,1,9,[31],9,18,{2}
HAT[279;2],279,3,nb,Cay,2,solv,93,93,tight,1,3,[93],3,6,{2}
HAT[280;1],280,8,nb,Cay,2,solv,10,5,---,3,7,[10;20;40],14,35,{}
HAT[280;2],280,8,b,Cay,2,solv,35,35,tight,1,8,[35],8,56,{2;4}
HAT[280;3],280,4,b,Cay,2,solv,70,70,tight,1,4,[70],4,28,{2;4}
HAT[280;4],280,8,b,Cay,2,solv,70,70,tight,1,4,[70],8,56,{2;4}
HAT[285;1],285,6,nb,Cay,2,solv,19,19,tight,1,15,[19],15,30,{2}
HAT[285;2],285,6,nb,Cay,2,solv,95,95,tight,1,3,[95],6,15,{2;4}
HAT[288;1],288,8,b,Cay,2,solv,12,4,---,2,8,[12;36],8,8,{}
HAT[288;2],288,8,b,Cay,2,solv,4,1,loose,2,8,[4;36],8,8,{}
HAT[288;3],288,8,b,Cay,2,solv,12,4,---,2,8,[12;36],16,16,{}
HAT[288;4],288,4,b,Cay,2,solv,8,2,antipodal,2,4,[8;72],4,16,{}
HAT[288;5],288,8,b,Cay,2,solv,8,2,antipodal,2,4,[8;72],8,16,{}
HAT[288;6],288,4,b,Cay,2,solv,4,1,loose,2,4,[4;72],4,8,{}
HAT[288;7],288,8,b,Cay,2,solv,4,1,loose,2,4,[4;72],8,8,{}
HAT[288;8],288,4,b,Cay,2,solv,8,2,antipodal,2,4,[8;72],4,16,{}
HAT[288;9],288,8,b,Cay,2,solv,8,2,antipodal,2,4,[8;72],8,16,{}
HAT[288;10],288,6,b,Cay,2,solv,12,3,---,2,6,[12;48],6,6,{}
HAT[291;1],291,3,nb,Cay,2,solv,97,97,tight,1,3,[97],3,6,{2}
HAT[292;1],292,8,b,n-Cay,2,solv,73,73,tight,1,4,[73],8,8,{2}
HAT[294;1],294,6,b,Cay,4,solv,7,1,loose,2,6,[7;49],6,12,{}
HAT[294;2],294,6,b,Cay,2,solv,7,7,tight,1,42,[7],42,42,{2}
HAT[294;3],294,6,b,Cay,2,solv,7,1,loose,2,6,[7;49],6,42,{4}
HAT[294;4],294,6,b,Cay,2,solv,49,49,tight,1,6,[49],6,6,{2}
HAT[297;1],297,6,nb,Cay,2,solv,9,9,tight,1,33,[9],66,99,{1;2;4}
HAT[297;2],297,6,nb,Cay,2,solv,99,99,tight,1,3,[99],6,99,{1;2;4}
HAT[300;1],300,4,b,Cay,2,solv,3,1,loose,2,4,[3;75],4,12,{}
HAT[300;2],300,8,b,n-Cay,2,solv,5,1,loose,2,12,[5;25],24,24,{}
HAT[300;3],300,8,b,Cay,2,solv,5,1,loose,2,12,[5;25],12,60,{4}
HAT[300;4],300,6,b,Cay,2,solv,15,15,tight,1,20,[15],20,60,{2;4}
HAT[300;5],300,4,b,Cay,2,solv,75,75,tight,1,4,[75],4,12,{2;4}
HAT[300;6],300,4,b,Cay,2,solv,15,3,---,2,4,[15;75],4,60,{4}
HAT[300;7],300,8,b,Cay,2,solv,15,3,---,2,4,[15;75],12,20,{4}
HAT[301;1],301,7,nb,Cay,2,solv,43,43,tight,1,7,[43],7,14,{2}
HAT[301;2],301,7,nb,Cay,2,solv,43,43,tight,1,7,[43],7,14,{2}
HAT[301;3],301,6,nb,Cay,2,solv,43,43,tight,1,7,[43],7,14,{2}
HAT[305;1],305,5,nb,Cay,2,solv,61,61,tight,1,5,[61],5,10,{2}
